PG,KO,NOC,HRL,CVX,CCI,KMI,COP,VZ,GOOG,AMZN,BA,JNJ,ABBV,QCOM,PFE,WMT,BRK
78.269997,41.93,79.779999,20.934999,124.209999,73.370003,40.59,62.029999,51.07,435.666412,260.48999,97.18,87.110001,46.119999,64.589996,29.08,76.830002,110.459999
81.879997,41.540001,80.300003,20.58,124.5,73.18,40.290001,62.540001,51.59,434.802032,259.850006,99.75,86.800003,46.25,63.700001,28.860001,76.32,110.5
82.050003,42.599998,81.650002,20.91,126.389999,74.510002,40.990002,63.240002,51.77,438.895416,266.480011,100.849998,87.540001,45.889999,64.639999,29.299999,77.519997,112.169998
80.160004,42.34,81.540001,20.93,126.07,72.809998,40.259998,62.490002,50.27,435.025574,265.459991,99.559998,87.080002,44.889999,63.779999,28.860001,77.050003,111.660004
78.900002,41.490002,82.690002,20.42,125.230003,71.940002,39.540001,62.580002,49.48,432.149292,265.709991,99.290001,85.709999,44.07,64.129997,28.370001,76.489998,113.370003
78.790001,40.650002,83.18,20.190001,124.639999,71.669998,38.959999,62.119999,48.900002,431.255096,266,100.209999,85.68,44.27,63.900002,28.27,75.360001,114.82
76.870003,39.950001,82.480003,19.865,122.349998,71.25,38.009998,61.580002,48.43,433.679321,268.959991,99.360001,84.279999,42.880001,63.369999,27.299999,75.059998,114.760002
77.709999,41.59,82.860001,19.889999,122.82,70.879997,38.27,61.889999,48.66,431.120972,267,100.480003,84.720001,43.419998,63.43,27.83,75.769997,113.949997
77.080002,41.400002,82.129997,19.83,122.339996,69.75,37.740002,61.959999,48.91,428.468231,265.809998,99.339996,83.910004,43.490002,63.650002,27.73,75.720001,112.900002
76.559998,40.549999,81.480003,19.49,121.269997,69.760002,37.880001,61.509998,48.299999,429.357452,267.75,98.650002,83.589996,43.220001,63.34,27.48,75.269997,111.339996
77.440002,41.200001,82.550003,19.6,121.220001,70.089996,39.169998,62.169998,50.169998,432.397675,269.73999,100.25,84.959999,43.720001,62.900002,28.24,76.379997,113.889999
77.690002,41.5,84.169998,19.815001,122.940002,70.349998,39.700001,62.360001,50.869999,438.199921,276.679993,102.510002,85.010002,44.330002,62.110001,28.379999,76.279999,115.559998
77.68,40.880001,83.080002,19.684999,121.870003,68.709999,38.549999,61.720001,50.220001,439.128876,276,101.610001,84.760002,43.310001,61.470001,28.040001,75.419998,114.410004
78.639999,40.790001,83.510002,19.940001,122.32,69.639999,38.490002,62.27,50.470001,439.86908,276.600006,102.190002,85.18,43.91,61.970001,28.65,75.470001,114.010002
77.540001,40.310001,82.669998,19.725,119.900002,68.279999,37.630001,60.669998,49.889999,431.682312,271.5,100.959999,83.599998,42.419998,61.220001,28.370001,74.779999,112.889999
78.489998,40.380001,82.730003,19.790001,121.129997,69.739998,38.02,61.669998,50.59,437.20639,275,102.160004,84.709999,42.98,61.790001,29.02,74.839996,114.940002
78.260002,40.540001,83.279999,20.155001,120.449997,70.739998,38.669998,61.450001,51.450001,436.7742,276.350006,102.690002,85.370003,43.400002,61.610001,29.4,75,114.75
78.949997,40.700001,83.790001,19.405001,121.029999,70.339996,38.509998,61.939999,50.830002,441.453766,279.079987,103.220001,85.75,42.970001,62.290001,29.129999,75,115.010002
79.050003,41.009998,83.860001,19.615,121.800003,71.260002,38.549999,62.150002,51.310001,447.772675,281.26001,103.830002,86.43,43.560001,62.630001,29.370001,75.739998,115.139999
77.209999,40.27,82.300003,19.389999,119.540001,68.889999,37.700001,61.130001,49.689999,444.106506,275.140015,101.459999,84.209999,42.650002,61.400002,29.02,74.5,113.199997
76.25,39.630001,82.559998,18.955,119.239998,68.080002,36.830002,60.77,49.43,441.299774,274.570007,100.080002,83,41.66,60.93,28.860001,73.519997,112.629997
76.949997,39.450001,81.419998,18.790001,117.709999,67.699997,36.099998,59.779999,49.049999,433.122955,271.290009,99.059998,82.919998,42.07,60,28.16,73.050003,111.75
77.099998,39.82,81.669998,19.135,117.75,67.910004,36.950001,59.810001,49.43,435.795563,272.299988,99.199997,85.160004,42.150002,60.419998,28.08,74.269997,111.809998
77.230003,40.080002,81.5,19.195,118.339996,68.669998,37.5,60.369999,50.799999,434.05191,273.980011,99.650002,85.949997,43.099998,62.560001,28.08,74.620003,112.980003
77.959999,40.650002,82.449997,19.379999,118.519997,70.540001,37.709999,60.619999,50.959999,436.560608,279.179993,102.410004,87.529999,43.560001,61.630001,28.389999,75.480003,113.629997
77.620003,40.25,83,19.295,118.790001,72.330002,38.23,60.299999,50.93,434.623199,276.190002,102.860001,86.720001,42.529999,60.639999,28.540001,75.110001,112.660004
77.019997,40.5,82.779999,19.389999,118.349998,72.5,38.389999,60.73,50.290001,440.36087,279,102.93,85.720001,41.400002,61.490002,27.969999,74.989998,112.510002
77.949997,40.470001,83.080002,19.620001,119.089996,72.160004,38.740002,61.209999,50.360001,442.223755,281.040009,103.220001,86.650002,41.580002,60.740002,27.719999,74.309998,112.839996
78.279999,40.240002,81.989998,19.43,119.239998,71.879997,38.110001,61.470001,50.560001,437.107025,282,101.010002,86.540001,41.880001,60.740002,27.469999,74.410004,112.029999
78.889999,40.720001,83.18,19.42,119.690002,72.650002,38.470001,62.110001,51.299999,442.129364,285,103.699997,87.580002,42.450001,60.75,28.049999,75.150002,113.339996
78.540001,40.650002,84.440002,19.65,121.290001,72.370003,38.52,62.509998,51.099998,446.699646,286.420013,104,88.089996,42.900002,60.75,28.24,75.68,115.5
79.07,40.860001,85.510002,19.875,122.389999,73.900002,39.09,63.310001,51.5,452.556549,291,105.269997,88.650002,44,60.150002,28.309999,76.959999,115.620003
79.650002,40.919998,85.529999,19.905001,123.449997,72.769997,39.580002,63.619999,50.939999,448.805939,291.410004,104.5,88.879997,43.360001,59.23,28.469999,76.959999,115.5
80.550003,41,87.709999,20.105,123.949997,75.900002,39.75,64.110001,51,453.550079,294.98999,106.43,89.809998,43.939999,61.150002,28.84,77.449997,115.989998
80.669998,41.029999,87.830002,20.41,123.519997,76.900002,39.869999,64.260002,51.25,457.027466,298.690002,106.860001,89.690002,43.93,61.349998,28.5,77.610001,116.809998
81.370003,41.049999,88.25,20.530001,124.110001,77.620003,39.959999,64.790001,50.200001,459.163574,307.269989,103.830002,89.910004,44.950001,61.389999,28.790001,77.300003,117.339996
81.32,39.779999,88.470001,20.639999,124.709999,77.269997,40.23,65.239998,49.75,460.569427,307.299988,105.690002,91.040001,44.540001,61.490002,28.84,76.980003,117.459999
80.489998,40.549999,87.400002,20.73,124.650002,75.519997,39.990002,65.239998,50.619999,457.524231,306.970001,104.449997,90.580002,43.970001,62.049999,28.790001,77.620003,117.830002
80.029999,40.860001,86.75,20.57,124.68,76.610001,39.959999,65.370003,50,456.525726,306.269989,104.959999,90.330002,43.959999,61.939999,28.67,77.220001,117.889999
80.360001,40.880001,87.800003,20.565001,125.790001,76.5,39.57,65.589996,50.049999,440.440369,304.390015,107.129997,90.239998,44.490002,61.220001,28.51,77.449997,118.68
81.230003,41.080002,88.669998,20.594999,126.709999,76.889999,39.630001,66.080002,49.84,448.085632,309.25,107.269997,92.080002,44.299999,61.68,29,77.889999,119.160004
81.220001,40.950001,89.010002,20.725,127.07,76.940002,39.580002,65.970001,50.330002,452.407532,303.160004,107.18,92.389999,44.919998,62.27,29.379999,77.959999,119.07
80.949997,41.119999,90.860001,20.795,127.25,76.959999,39.34,66.25,50.16,450.698639,303.019989,109.239998,92.650002,44.279999,62.889999,29.440001,78.68,118.260002
80.010002,40.810001,90.309998,20.485001,126.139999,76.889999,38.759998,65.410004,50.290001,444.046906,299,106.360001,92,43.41,63.490002,29.030001,78.050003,116
80.019997,40.650002,90.040001,20.555,127.029999,73.519997,38.799999,65.410004,50.740002,440.62912,299.549988,106.220001,92.32,45.009998,62.919998,28.92,77.93,116.57
80.099998,40.610001,90.220001,21.030001,127.370003,73.389999,38.209999,65.540001,51.029999,439.590881,311.070007,103.519997,92.629997,44.720001,64.470001,29.4,77.830002,116.910004
80.489998,40.419998,91.769997,21.120001,126.199997,72.900002,38.400002,65.449997,51.939999,439.86908,307.720001,104.940002,93.470001,45.080002,64.720001,29.889999,78.209999,116.900002
80.440002,40.41,90.900002,21.09,126.019997,72.349998,38.189999,64.919998,50.27,443.609741,303.910004,105.919998,93.230003,44.84,64.599998,29.440001,77.919998,116.370003
81.620003,40.400002,92.449997,21.35,126.489998,70.540001,38.049999,65.720001,50.049999,444.608246,303.079987,105.989998,94.160004,45.139999,64.779999,29.43,78.419998,116.980003
81.419998,40.029999,94.459999,21.445,124.870003,69.650002,38,65.959999,49.830002,448.800995,304.630005,106,93.559998,45.110001,64.889999,28.950001,78.25,117.370003
81.050003,40.18,94.889999,21.51,124.720001,69.959999,37.580002,67,50.110001,449.769684,303.399994,107.139999,94.050003,45.049999,65.410004,29.299999,78.620003,119.099998
81.300003,40.23,95.300003,21.555,123.970001,70.349998,37.650002,67.120003,50.189999,449.421936,300.51001,107.349998,93.879997,44.419998,66.18,29.24,78.559998,118.230003
81.410004,40.310001,94.360001,21.674999,123.029999,69.099998,37.98,66.93,49.93,444.628113,300.149994,106.209999,93.599998,44.700001,65.269997,29.27,77.160004,117.400002
82.110001,40.299999,96.089996,21.6,123.879997,68.400002,37.939999,67.040001,50.060001,444.851654,298.519989,106.68,94.269997,44.860001,65.589996,29.209999,77.510002,117.400002
81.919998,40.25,95.599998,21.555,123.120003,68.389999,37.759998,67.010002,49.700001,442.402588,295.679993,105.370003,93.389999,44.900002,66.339996,29.08,77.209999,117.5
81.230003,40.040001,95.410004,21.504999,122,68.370003,37.5,66.32,49.279999,440.584412,295.790009,104.860001,92.080002,44.709999,65.889999,29.07,76.559998,116.239998
81.779999,39.93,95.290001,21.745001,121.93,67.68,37.5,66.43,49.639999,440.549652,295.880005,104.309998,91.889999,45.119999,66.730003,29.25,77.169998,117.349998
81.669998,39.59,95.209999,21.955,122.760002,67.540001,37.099998,67.150002,49.099998,436.346985,294.290009,106.160004,92.790001,44.849998,67.080002,29.219999,76.809998,117.040001
80.959999,39.299999,93.980003,21.59,120.68,67.07,37.209999,66.760002,48.66,429.427002,288.790009,103.190002,90.32,44.599998,66.349998,28.940001,74.459999,116
80.269997,39.029999,93.57,21.4,119.889999,67.970001,37.509998,67.370003,48.290001,427.857208,286.549988,102.82,89.129997,42.939999,66.690002,28.66,74.120003,114.529999
79.639999,39.049999,93.879997,21.360001,119.690002,67.699997,37.310001,67.410004,47.549999,426.08374,285.190002,103,89.470001,43.009998,66.879997,28.27,73.879997,115.139999
79.720001,38.849998,93.790001,21.295,118.589996,68.559998,36.560001,65.82,47.540001,431.369354,285.880005,104.690002,90.550003,43.290001,66.529999,28.559999,73.550003,114.209999
79.5,38.630001,93.57,21.41,118.379997,68.709999,36.939999,65.970001,47.790001,432.511932,285.089996,104.470001,89.470001,42.82,66.309998,28.5,73.160004,114.800003
79.300003,38.32,94.300003,21.049999,117.940002,68.18,37.099998,65.580002,47.450001,433.530304,284.799988,103.879997,88.760002,42.400002,66.690002,28.33,73.809998,114.18
79.870003,38.610001,94.019997,21.370001,118.690002,68.489998,37.189999,66.260002,47.02,436.078735,291.209991,105.5,87.93,43.009998,67.010002,28.139999,73.650002,115
79.919998,38.599998,94.809998,21.395,119.739998,69.68,37.310001,66.589996,47.529999,432.189026,290.429993,105.75,88.360001,43.43,67.029999,28.33,73.639999,114.339996
77.870003,37.98,94.400002,20.825001,118.239998,68.440002,36.810001,65.949997,46.580002,427.032562,283.869995,104.400002,86.970001,43.02,66.309998,27.92,72.68,113.199997
77.860001,38.060001,93.07,20.639999,119.459999,69.919998,37.110001,66.18,46.880001,422.377838,280.359985,103.099998,86.360001,42.529999,66.07,27.950001,72.660004,111.160004
76.760002,38.470001,92.470001,20.415001,121.150002,69.559998,37.060001,66.510002,48.619999,421.791656,281.450012,103.279999,86.410004,42.32,66.57,28.120001,72.349998,111.879997
77.529999,38.16,93.169998,20.719999,120.519997,70.099998,38,66.279999,47.830002,425.115051,284.589996,104.919998,86.779999,42.759998,66.629997,28.049999,72.639999,112.25
78.269997,38.27,93.43,20.934999,121.339996,69.32,38.18,66.959999,45.52,424.419556,284.730011,105.129997,86.889999,43,66.919998,28.379999,73.480003,112.32
77.519997,37.880001,92.949997,20.625,120.349998,69.18,37.220001,66.870003,45.709999,427.395203,288.329987,105.050003,86.459999,42.599998,66.82,28.190001,72.699997,111.75
77.580002,38.630001,93.610001,20.945,121.080002,69.790001,35.310001,67.660004,47.110001,433.927704,293.630005,106.160004,87,43.029999,67.330002,28.52,72.839996,112
77.120003,38.380001,93.709999,20.93,121.529999,69.589996,35.630001,67.879997,47.009998,438.368835,295.329987,107,87.220001,43.529999,67.980003,28.280001,72.699997,112.440002
77.370003,38.52,93.349998,21.105,121.209999,72.199997,35.459999,68.25,46.349998,439.009674,297.220001,106.580002,87.389999,43.880001,68,28.23,72.849998,112.129997
78.5,38.77,93.470001,21.17,122.82,72.620003,36.330002,68.900002,45.959999,442.134338,300.549988,107.639999,88.139999,44.580002,69.389999,28.379999,73.660004,113.309998
77.260002,38.68,94.559998,21.23,123.050003,73.120003,37.080002,68.730003,46.490002,441.399109,298.910004,108.25,88.629997,44.810001,68.290001,28.530001,74,113.559998
78.400002,38.59,95.040001,21.389999,124.050003,73.059998,35.82,69.190002,46.599998,445.800507,299.390015,109.190002,89.300003,44.84,68.730003,28.639999,74.18,114.25
78.440002,38.560001,96.050003,21.344999,123.980003,70.870003,35.610001,69.139999,47.799999,444.359863,300.140015,109.93,89.129997,44.709999,69.209999,28.389999,74.129997,113.290001
79.720001,39.029999,97.040001,21.545,124.980003,70.849998,35.299999,69.769997,48.310001,445.204376,299.820007,113.730003,89.43,45.32,69.019997,28.74,74.900002,114.370003
79.959999,38.810001,97.720001,21.555,124.099998,70.589996,34.75,69.309998,48.470001,440.837769,297.630005,115.779999,89.050003,45.919998,68.360001,28.66,74.839996,115.160004
79.059998,38.810001,98.720001,21.59,124.360001,70.099998,35.59,69.589996,48.509998,440.311188,304.059998,117.279999,88.910004,47.189999,69.470001,28.73,75.160004,115.389999
80.5,39.639999,98.610001,22.110001,125.860001,70.879997,36.389999,70.599998,48.619999,450.067749,313.769989,119.220001,90.050003,48.209999,69.709999,29.040001,76.5,117.099998
80.089996,39.330002,98.290001,21.985001,125.660004,71,36.830002,70.849998,48.59,446.292297,312.540009,119.150002,90.199997,47.439999,69.519997,28.969999,76.32,117.769997
79.199997,39.16,96.300003,21.905001,124.620003,70.410004,36.09,70.660004,47.709999,445.179535,314.01001,117.150002,89.43,47.560001,70,28.77,75.389999,117.059998
78.970001,38.720001,96.040001,21.635,125.339996,70.739998,35.98,70.629997,47.689999,440.385712,312.429993,117.190002,89.019997,46.950001,68.720001,28.73,76.400002,115.769997
78.839996,38.650002,96.040001,21.575001,124.769997,70.279999,36.279999,70.489998,47.299999,440.410553,314.529999,119.32,88.419998,46.09,68.440002,28.690001,75.910004,115
77.910004,38.490002,95.690002,21.35,124.099998,71.559998,35.990002,70.339996,47.049999,436.312195,313.899994,118.709999,87.279999,45.330002,69.080002,28.629999,74.779999,115.419998
77.75,38.57,96.110001,21.200001,123.230003,72.959999,35.880001,70.160004,47.419998,434.583466,316.920013,118.510002,86.809998,44.869999,68.190002,28.48,74.379997,115.300003
